# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS	MORPHEMES	NOTE
1251	Khoina	earthworm	tʰa-kʰ-laː	tʰa+kʰ+laː	tʰ a + kʰ + l aː	i n + i + i n	tʰ a - + kʰ + l aː	352 356 355	EARTHWORM ? ?	
1252	Jerigaon	earthworm	tʰlak-kʰlaː	tʰlak+kʰlaː	tʰ + l a k + kʰ + l aː	i + i n c + i + i n	tʰ - - + l a k + kʰ + l aː	352 341 356 355	EARTHWORM ? ? ?	contraction (first syllable)
1253	Khoitam	earthworm	pʰ-tʰaŋ-hɔ̃ː ~ pi-taŋ-hɔ̃ː	pʰ+tʰaŋ+hɔ̃ː	pʰ + tʰ~t/tʰ a ŋ + h ɔ̃ː	i + i n c + i n	pʰ - + tʰ~t/tʰ a ŋ + h ɔ̃ː	353 352 354	_insect-prefix EARTHWORM ?	
1254	Rahung	earthworm	tɔ̃-hɔ̃ː	tɔ̃+hɔ̃ː	t ɔ̃ + h ɔ̃ː	i n + i n	t ɔ̃ - + h ɔ̃ː	352 354	EARTHWORM ?	
1255	Rupa	earthworm	pʰyː dɔ̃(ŋ)hɔ̃ː	pʰyː_dɔ̃hɔ̃ː	pʰ yː + d ɔ̃ (ŋ)/ŋ + h ɔ̃ː	i n + i n c + i n	pʰ yː + d ɔ̃ (ŋ)/ŋ + h ɔ̃ː	353 352 354	INSECT EARTHWORM ?	
#
1257	Khispi	eat	ʨʰa	ʨʰa	tɕʰ a	i n	tɕʰ a	357	EAT	
1258	Duhumbi	eat	ʨʰa	ʨʰa	tɕʰ a	i n	tɕʰ a	357	EAT	
1259	Khoina	eat	ʦʰu	ʦʰu	tsʰ u	i n	tsʰ u	357	EAT	
1260	Jerigaon	eat	ʨʰu	ʨʰu	tɕʰ u	i n	tɕʰ u	357	EAT	
1261	Khoitam	eat	ʨʰu	ʨʰu	tɕʰ u	i n	tɕʰ u	357	EAT	
1262	Rahung	eat	ʨʰu	ʨʰu	tɕʰ u	i n	tɕʰ u	357	EAT	
1263	Rupa	eat	ʦʰu ~ ʨʰu	ʦʰu	tsʰ~ʨʰ/ʨʰ u	i n	tsʰ~ʨʰ/ʨʰ u	357	EAT	
1264	Shergaon	eat	ʨʰu	ʨʰu	tɕʰ u	i n	tɕʰ u	357	EAT	
#
1265	Khispi	egg	ɔ-gɔŋ	ɔ+gɔŋ	ɔ + g ɔ ŋ	n + i n c	ɔ + g ɔ ŋ	68 358	_u/o/a-prefix EGG	
1266	Duhumbi	egg	hɔj-ʥɔŋ	hɔj+ʥɔŋ	h ɔj + dʑ ɔ ŋ	i n + i n c	h ɔj + dʑ ɔ ŋ	360 358	BLOOD EGG	or bulge?
1267	Khoina	egg	a-juŋ	a+juŋ	a + j u ŋ	n + i n c	a + j u ŋ	68 358	_u/o/a-prefix EGG	
1268	Jerigaon	egg	a-juŋ	a+juŋ	a + j u ŋ	n + i n c	a + j u ŋ	68 358	_u/o/a-prefix EGG	
1269	Khoitam	egg	a-juŋ	a+juŋ	a + j u ŋ	n + i n c	a + j u ŋ	68 358	_u/o/a-prefix EGG	
1270	Rahung	egg	a-juŋ	a+juŋ	a + j u ŋ	n + i n c	a + j u ŋ	68 358	_u/o/a-prefix EGG	
1271	Rupa	egg	a-juŋ	a+juŋ	a + j u ŋ	n + i n c	a + j u ŋ	68 358	_u/o/a-prefix EGG	
#
1273	Khispi	eggplant	ban-tʰu	ban+tʰu	b a n + tʰ u	i n c + i n	b a n + tʰ u	363 361	_ma-prefix11 EGGPLANT	epenthetic nasal, TSH loan?
1274	Duhumbi	eggplant	ban-tʰɔw	ban+tʰɔw	b a n + tʰ ɔw	i n c + i n	b a n + tʰ ɔw	363 361	_ma-prefix11 EGGPLANT	epenthetic nasal, TSH loan?
1275	Khoina	eggplant	ma-tʰɔː	ma+tʰɔː	m a + tʰ ɔː	i n + i n	m a - + tʰ ɔː	363 361	_ma-prefix11 EGGPLANT	
1276	Jerigaon	eggplant	mə-tʰɔː	mə+tʰɔː	m ə + tʰ ɔː	i n + i n	m ə - + tʰ ɔː	363 361	_ma-prefix11 EGGPLANT	epenthetic nasal
1277	Khoitam	eggplant	mə-tʰoː	mə+tʰoː	m ə + tʰ oː	i n + i n	m ə - + tʰ oː	363 361	_ma-prefix11 EGGPLANT	epenthetic nasal
1278	Rahung	eggplant	pʰ-tʰoː	pʰ+tʰoː	pʰ + tʰ oː	i + i n	pʰ - - + tʰ oː	363 361	_ma-prefix11 EGGPLANT	
1279	Rupa	eggplant	man-tʰoː	man+tʰoː	m a n + tʰ oː	i n c + i n	m a n + tʰ oː	363 361	_ma-prefix11 EGGPLANT	epenthetic nasal
1280	Shergaon	eggplant	ban-tʰoː	ban+tʰoː	b a n + tʰ oː	i n c + i n	b a n + tʰ oː	363 361	_ma-prefix11 EGGPLANT	epenthetic nasal
#
1281	Khispi	eight	saɹ-gɛː	saɹ+gɛː	s a ɹ + g ɛː	i n c + i n	s a ɹ + g ɛː -	365 364	EIGHT1 EIGHT2	
1282	Duhumbi	eight	saɹ-gɛˀ	saɹ+gɛˀ	s a ɹ + g ɛˀ	i n c + i n	s a ɹ + g ɛˀ -	365 364	EIGHT1 EIGHT2	
1283	Khoina	eight	saɹ-gɛʔ ~ saɹ-ʥɛʔ	saɹ+gɛʔ	s a ɹ + g~ʥ/g ɛ ʔ	i n c + i n c	s a ɹ + g~ʥ/g ɛ ʔ	365 364	EIGHT1 EIGHT2	
1284	Jerigaon	eight	saɹ-gɛʔ	saɹ+gɛʔ	s a ɹ + g ɛ ʔ	i n c + i n c	s a ɹ + g ɛ ʔ	365 364	EIGHT1 EIGHT2	
1285	Khoitam	eight	saɹ-ʥɛʔ	saɹ+ʥɛʔ	s a ɹ + dʑ ɛ ʔ	i n c + i n c	s a ɹ + dʑ ɛ ʔ	365 364	EIGHT1 EIGHT2	
1286	Rahung	eight	saɹ-ʥɛʔ	saɹ+ʥɛʔ	s a ɹ + dʑ ɛ ʔ	i n c + i n c	s a ɹ + dʑ ɛ ʔ	365 364	EIGHT1 EIGHT2	
1287	Rupa	eight	saɹ-ɟat ~ saɹ-ʥat	saɹ+ɟat	s a ɹ + ɟ~ʥ/ʥ a t	i n c + i n c	s a ɹ + ɟ~ʥ/ʥ a t	365 364	EIGHT1 EIGHT2	
1288	Shergaon	eight	saɹ-ʥat	saɹ+ʥat	s a ɹ + dʑ a t	i n c + i n c	s a ɹ + dʑ a t	365 364	EIGHT1 EIGHT2	
#
1290	Duhumbi	elbow	ki-lik-pa	ki+lik+pa	k i + l i k + p a	i n + i n c + i n	k i + l i k + p a	366 371 370	ELBOW1 ELBOW2 _pa-suffix	
1291	Khoina	elbow	ji ʦə-ryː	ji_ʦə+ryː	j i + ts ə + r yː	i n + i n + i n	j i + ts ə + r yː	369 366 367	? ELBOW1 ELBOW2	
1292	Jerigaon	elbow	ik ʨə-ryː	ik_ʨə+ryː	i k + tɕ ə + r yː	n c + i n + i n	i k + tɕ ə + r yː	368 366 367	HAND2 ELBOW1 ELBOW2	
1293	Khoitam	elbow	ik kə-li	ik_kə+li	i k + k ə + l i	n c + i n + i n	i k + k ə + l i	368 366 367	HAND ELBOW1 ELBOW2	
1294	Rahung	elbow	ik kə-ri	ik_kə+ri	i k + k ə + r i	n c + i n + i n	i k + k ə + r i	368 366 367	HAND ELBOW1 ELBOW2	
1295	Rupa	elbow	ik kə-li	ik_kə+li	i k + k ə + l i	n c + i n + i n	i k + k ə + l i	368 366 367	HAND ELBOW1 ELBOW2	
1296	Shergaon	elbow	ik kə-li	ik_kə+li	i k + k ə + l i	n c + i n + i n	i k + k ə + l i	368 366 367	HAND ELBOW1 ELBOW2	
#
1299	Khoina	elephant	ʂu-ʂiŋ-tʰɔŋ	ʂu+ʂiŋ+tʰɔŋ	ʂ u + ʂ i ŋ + tʰ ɔ ŋ	i n + i n c + i n c	ʂ u + ʂ i ŋ + tʰ ɔ ŋ	372 374 373	_sa-prefix _sang-prefix ELEPHANT	
1300	Jerigaon	elephant	su-sɛn-tʰɔŋ	su+sɛn+tʰɔŋ	s u + s ɛ n + tʰ ɔ ŋ	i n + i n c + i n c	s u + s ɛ n + tʰ ɔ ŋ	372 374 373	_sa-prefix _sang-prefix ELEPHANT	
1301	Khoitam	elephant	su-san-tʰɔŋ	su+san+tʰɔŋ	s u + s a n + tʰ ɔ ŋ	i n + i n c + i n c	s u + s a n + tʰ ɔ ŋ	372 374 373	_sa-prefix _sang-prefix ELEPHANT	
1302	Rahung	elephant	su-san-tʰɔŋ	su+san+tʰɔŋ	s u + s a n + tʰ ɔ ŋ	i n + i n c + i n c	s u + s a n + tʰ ɔ ŋ	372 374 373	_sa-prefix _sang-prefix ELEPHANT	
1303	Rupa	elephant	s-tɔŋ	s+tɔŋ	s + t ɔ ŋ	i + i n c	s - + t ɔ ŋ	372 373	_sa-prefix ELEPHANT	
1304	Shergaon	elephant	s-tɔŋ	s+tɔŋ	s + t ɔ ŋ	i + i n c	s - + t ɔ ŋ	372 373	_sa-prefix ELEPHANT	
#
1307	Khoina	empty	a-ruk	a+ruk	a + r u k	n + i n c	- a + r u k	56 375	_u/a-prefix CONTAINER	
1308	Jerigaon	empty	a-ruk	a+ruk	a + r u k	n + i n c	- a + r u k	56 375	_u/a-prefix CONTAINER	
1309	Khoitam	empty	a-ruk	a+ruk	a + r u k	n + i n c	- a + r u k	56 375	_u/a-prefix CONTAINER	
1310	Rahung	empty	a-ruk	a+ruk	a + r u k	n + i n c	- a + r u k	56 375	_u/a-prefix CONTAINER	
1311	Rupa	empty	a-ruk	a+ruk	a + r u k	n + i n c	- a + r u k	56 375	_u/a-prefix CONTAINER	
1312	Shergaon	empty	a-ruk	a+ruk	a + r u k	n + i n c	- a + r u k	56 375	_u/a-prefix CONTAINER	
#
1315	Khoina	excrement	jaː	jaː	j aː	i n	j aː	439	FAECES	
1316	Jerigaon	excrement	jɛː ~ jaː	jɛː	j ɛː~aː/aː	i n	j ɛː~aː/aː	439	FAECES	
1317	Khoitam	excrement	jɛː	jɛː	j ɛː	i n	j ɛː	439	FAECES	
1318	Rahung	excrement	jɛː	jɛː	j ɛː	i n	j ɛː	439	FAECES	
1319	Rupa	excrement	jaː	jaː	j aː	i n	j aː	439	FAECES	
1320	Shergaon	excrement	jaː	jaː	j aː	i n	j aː	439	FAECES	
#
1321	Khispi	excrete	ʨʰat	ʨʰat	tɕʰ a t	i n c	tɕʰ a t	378	EXCRETE	
1322	Duhumbi	excrete	ʨʰɛt	ʨʰɛt	tɕʰ ɛ t	i n c	tɕʰ ɛ t	378	EXCRETE	
1323	Khoina	excrete	tʂʰɐ̃	tʂʰɐ̃	ʈʂʰ ɐ̃	i n	ʈʂʰ ɐ̃ -	378	EXCRETE	
1324	Jerigaon	excrete	ʨʰɐ̃	ʨʰɐ̃	tɕʰ ɐ̃	i n	tɕʰ ɐ̃ -	378	EXCRETE	
1326	Rahung	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃	i n	tɕʰ ɔ̃ -	378	EXCRETE	
1327	Rupa	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃	i n	tɕʰ ɔ̃ -	378	EXCRETE	
1328	Shergaon	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃	i n	tɕʰ ɔ̃ -	378	EXCRETE	
#
1329	Khispi	exit	ɕɛt	ɕɛt	ɕ ɛ t	i n c	ɕ ɛ t	379	EXIT	
1330	Duhumbi	exit	ɕɛt	ɕɛt	ɕ ɛ t	i n c	ɕ ɛ t	379	EXIT	
1331	Khoina	exit	ʂɛʔ	ʂɛʔ	ʂ ɛ ʔ	i n c	ʂ ɛ ʔ	379	EXIT	
1332	Jerigaon	exit	sɛʔ	sɛʔ	s ɛ ʔ	i n c	s ɛ ʔ	379	EXIT	
1333	Khoitam	exit	sɛt	sɛt	s ɛ t	i n c	s ɛ t	379	EXIT	
1334	Rahung	exit	sɛt	sɛt	s ɛ t	i n c	s ɛ t	379	EXIT	
1335	Rupa	exit	sat	sat	s a t	i n c	s a t	379	EXIT	
1336	Shergaon	exit	sat	sat	s a t	i n c	s a t	379	EXIT	
#
1337	Khispi	eye	kʰu-mɔː	kʰu+mɔː	kʰ u + m ɔː	i n + i n	kʰ u + m ɔː	380 46	_kha-prefix6 _female-suffix	
1338	Duhumbi	eye	kʰu-m	kʰu+m	kʰ u + m	i n + i	kʰ u + m -	380 46	_kha-prefix6 _female-suffix	
1339	Khoina	eye	ga-byː	ga+byː	g a + b yː	i n + i n	g a + b yː	380 129	_kha-prefix6 ROUND	
1340	Jerigaon	eye	kʰa-byː	kʰa+byː	kʰ a + b yː	i n + i n	kʰ a + b yː	380 129	_kha-prefix6 ROUND	
1341	Khoitam	eye	kʰa-byː	kʰa+byː	kʰ a + b yː	i n + i n	kʰ a + b yː	380 129	_kha-prefix6 ROUND	
1342	Rahung	eye	kʰam-byː ~ kʰa-byː	kʰam+byː	kʰ a + b yː	i n  + i n	kʰ a + b yː	380 129	_kha-prefix6 ROUND	
1343	Rupa	eye	kʰa-byː ~ kʰə-byː	kʰa+byː	kʰ a + b yː	i n + i n	kʰ a + b yː	380 129	_kha-prefix6 ROUND	
1344	Shergaon	eye	kʰi-biː	kʰi+biː	kʰ i + b iː	i n + i n	kʰ i + b iː	380 129	_kha-prefix6 ROUND	
#
1346	Duhumbi	face	zuk	zuk	z u k	i n c	z u k	383	FACE2	
1347	Khoina	face	zyk	zyk	z y k	i n c	z y k	383	FACE2	
1349	Khoitam	face	zyk	zyk	z y k	i n c	z y k	383	FACE2	
1350	Rahung	face	zyk	zyk	z y k	i n c	z y k	383	FACE2	
1351	Rupa	face	zyk	zyk	z y k	i n c	z y k	383	face	
1353	Khispi	face	muj	muj	m uj	i n	m uj	382	FACE1	
1354	Duhumbi	face	mɛj	mɛj	m ɛj	i n	m ɛj	382	FACE1	
1355	Khoina	face	miː	miː	m iː	i n	m iː	382	FACE1	
1356	Jerigaon	face	miː	miː	m iː	i n	m iː	382	FACE1	
1357	Khoitam	face	miː	miː	m iː	i n	m iː	382	FACE1	
1358	Rahung	face	miː	miː	m iː	i n	m iː	382	FACE1	
1359	Rupa	face	myː	myː	m yː	i n	m yː	382	face	
#
1361	Khispi	falcon	hwa-ʨɔŋ-ki	hwa+ʨɔŋ+ki	hw a + tɕ ɔ ŋ + k i	i n + i n c + i n	hw a + tɕ ɔ ŋ + k i	140 384 386	_pa-prefix2 FALCON1 FALCON2	
1362	Duhumbi	falcon	hwa-ʨɔŋ-ki	hwa+ʨɔŋ+ki	hw a + tɕ ɔ ŋ + k i	i n + i n c + i n	hw a + tɕ ɔ ŋ + k i	140 384 386	_pa-prefix2 FALCON1 FALCON2	
1363	Khoina	falcon	ʣa-kyː	ʣa+kyː	dz a + k yː	i n + i n	dz a - + k yː	384 386	FALCON1 FALCON2	
1364	Jerigaon	falcon	ʨaŋ-kə-luŋ	ʨaŋ+kə+luŋ	tɕ a ŋ + k ə + l u ŋ	i n c + i n + i n c	tɕ a ŋ + k ə + l u ŋ	384 386 388	FALCON1 FALCON2 ?	
#
1369	Khispi	fall	ɕa	ɕa	ɕ a	i n	ɕ a	505	FALL1	
1370	Duhumbi	fall	ɕa	ɕa	ɕ a	i n	ɕ a	505	FALL1	
1374	Rahung	fall	ʨʰuː	ʨʰuː	tɕʰ uː	i n	tɕʰ uː	505	FALL1	
1375	Rupa	fall	ʦʰuː  ~ ʨʰuː	ʦʰuː	tsʰ~ʨʰ/ʨʰ uː	i n	tsʰ~ʨʰ/ʨʰ uː	505	FALL1	
1380	Jerigaon	fall	hiŋ	hiŋ	h i ŋ	i n c	h i ŋ	49	FALL2	
1381	Khoitam	fall	hiŋ	hiŋ	h i ŋ	i n c	h i ŋ	49	FALL2	
1382	Rahung	fall	hyŋ	hyŋ	h y ŋ	i n c	h y ŋ	49	FALL2	
1383	Rupa	fall	hĩː	hĩː	h ĩː	i n	h ĩː -	49	FALL2	
1384	Shergaon	fall	hĩː	hĩː	h ĩː	i n	h ĩː -	49	FALL2	
#
1387	Khoina	far	a-tʂʰɐ̃ː	a+tʂʰɐ̃ː	a + ʈʂʰ ɐ̃ː	n + i n	- a + ʈʂʰ ɐ̃ː	56 390	_u/a-prefix FAR	
1388	Jerigaon	far	a-ʨʰɐ̃ː	a+ʨʰɐ̃ː	a + tɕʰ ɐ̃ː	n + i n	- a + tɕʰ ɐ̃ː	56 390	_u/a-prefix FAR	
1389	Khoitam	far	a-ʨʰɔ̃ː	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː	n + i n	- a + tɕʰ ɔ̃ː	56 390	_u/a-prefix FAR	
1390	Rahung	far	a-ʨʰɔ̃ː	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː	n + i n	- a + tɕʰ ɔ̃ː	56 390	_u/a-prefix FAR	
1391	Rupa	far	a-ʨʰɔ̃ː	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː	n + i n	- a + tɕʰ ɔ̃ː	56 390	_u/a-prefix FAR	
1392	Shergaon	far	a-ʨʰɔ̃ː	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː	n + i n	- a + tɕʰ ɔ̃ː	56 390	_u/a-prefix FAR	
#
1394	Duhumbi	fast	ʥɔk-pu	ʥɔk+pu	dʑ ɔ k + p u	i n c + i n	dʑ ɔ k + p u	392 394	FAST _pu-suffix	
1395	Khoina	fast	a-ʥɔk	a+ʥɔk	a + dʑ ɔ k	n + i n c	- a + dʑ ɔ k	56 392	_u/a-prefix FAST	
1396	Jerigaon	fast	a-ʥɔk	a+ʥɔk	a + dʑ ɔ k	n + i n c	- a + dʑ ɔ k	56 392	_u/a-prefix FAST	
1397	Khoitam	fast	a-ʥɔk	a+ʥɔk	a + dʑ ɔ k	n + i n c	- a + dʑ ɔ k	56 392	_u/a-prefix FAST	
1398	Rahung	fast	a-ʥɔk	a+ʥɔk	a + dʑ ɔ k	n + i n c	- a + dʑ ɔ k	56 392	_u/a-prefix FAST	
1399	Rupa	fast	a-dzuk ~ a-dzɔk	a+dzuk	a + dz u~ɔ/ɔ k	n + i n c	- a + dz u~ɔ/ɔ k	56 392	_u/a-prefix FAST	
1400	Shergaon	fast	a-ʥɔk	a+ʥɔk	a + dʑ ɔ k	n + i n c	- a + dʑ ɔ k	56 392	_u/a-prefix FAST	
#
1401	Khispi	fat (n)	ɔ-ju ~ u-ju	ɔ+ju	ɔ~u/ɔ + j u	n + i n	ɔ~u/ɔ + j u	137 396	_o/a-prefix FAT	
1402	Duhumbi	fat (n)	ɔ-jɔw	ɔ+jɔw	ɔ + j ɔw	n + i n	ɔ + j ɔw	137 396	_o/a-prefix FAT	
1403	Khoina	fat (n)	a-jɔː	a+jɔː	a + j ɔː	n + i n	a + j ɔː	137 396	_o/a-prefix FAT	
1404	Jerigaon	fat (n)	a-jɔː	a+jɔː	a + j ɔː	n + i n	a + j ɔː	137 396	_o/a-prefix FAT	
1405	Khoitam	fat (n)	a-joː	a+joː	a + j oː	n + i n	a + j oː	137 396	_o/a-prefix FAT	
1406	Rahung	fat (n)	a-joː	a+joː	a + j oː	n + i n	a + j oː	137 396	_o/a-prefix FAT	
1407	Rupa	fat (n)	a-joː	a+joː	a + j oː	n + i n	a + j oː	137 396	_o/a-prefix FAT	
1408	Shergaon	fat (n)	a-joː	a+joː	a + j oː	n + i n	a + j oː	137 396	_o/a-prefix FAT	
#
1409	Khispi	father	a-ba	a+ba	a + b a	n + i n	a + b a	124 397	_a-prefix FATHER	
1410	Duhumbi	father	a-pa	a+pa	a + p a	n + i n	a + p a	124 397	_a-prefix FATHER	
1411	Khoina	father	a-bɔː	a+bɔː	a + b ɔː	n + i n	a + b ɔː	124 397	_a-prefix FATHER	
1412	Jerigaon	father	a-bɔː	a+bɔː	a + b ɔː	n + i n	a + b ɔː	124 397	_a-prefix FATHER	
1413	Khoitam	father	a-bɔː	a+bɔː	a + b ɔː	n + i n	a + b ɔː	124 397	_a-prefix FATHER	
1414	Rahung	father	a-boː	a+boː	a + b oː	n + i n	a + b oː	124 397	_a-prefix FATHER	
1415	Rupa	father	a-boː ~ a-poː	a+boː	a + b~p/b oː	n + i n	a + b~p/b oː	124 397	_a-prefix FATHER	
#
1419	Khoina	fear (vi)	fuŋ	fuŋ	f u ŋ	i n c	f u ŋ	399	FEAR	
1420	Jerigaon	fear (vi)	huŋ	huŋ	h u ŋ	i n c	h u ŋ	399	FEAR	
1421	Khoitam	fear (vi)	huŋ	huŋ	h u ŋ	i n c	h u ŋ	399	FEAR	
1422	Rahung	fear (vi)	huŋ	huŋ	h u ŋ	i n c	h u ŋ	399	FEAR	
1423	Rupa	fear (vi)	huŋ	huŋ	h u ŋ	i n c	h u ŋ	399	FEAR	
1424	Shergaon	fear (vi)	huŋ	huŋ	h u ŋ	i n c	h u ŋ	399	FEAR	
#
1425	Khispi	female	u-ma ~ a-ma	u+ma	u~a/u + m a	n + i n	- u~a/u + m a	56 400	_u/a-prefix FEMALE	
1426	Duhumbi	female	u-ma	u+ma	u + m a	n + i n	- u + m a	56 400	_u/a-prefix FEMALE	
1427	Khoina	female	am	am	a + m	n + i	a + m -	402 400	_u/a-prefix FEMALE	contraction
1428	Jerigaon	female	a-muː	a+muː	a + m uː	n + i n	- a + m uː	56 400	_u/a-prefix FEMALE	
1429	Khoitam	female	a-muː	a+muː	a + m uː	n + i n	- a + m uː	56 400	_u/a-prefix FEMALE	
1430	Rahung	female	a-muː	a+muː	a + m uː	n + i n	- a + m uː	56 400	_u/a-prefix FEMALE	
1431	Rupa	female	a-muː	a+muː	a + m uː	n + i n	- a + m uː	56 400	_u/a-prefix FEMALE	
1432	Shergaon	female	a-muː	a+muː	a + m uː	n + i n	- a + m uː	56 400	_u/a-prefix FEMALE	
#
1433	Khispi	fence	gɔŋ	gɔŋ	g ɔ ŋ	i n c	g ɔ ŋ	403	FENCE	
1434	Duhumbi	fence	gɔŋ	gɔŋ	g ɔ ŋ	i n c	g ɔ ŋ	403	FENCE	
1437	Khoitam	fence	guŋ	guŋ	g u ŋ	i n c	g u ŋ	403	FENCE	
1438	Rahung	fence	guŋ	guŋ	g u ŋ	i n c	g u ŋ	403	FENCE	
#
1441	Khispi	fern, fiddlehead	daŋ-sum	daŋ+sum	d a ŋ + s u m	i n c + i n c	d a ŋ + s u m	405 404	VEGETABLE FERN	
1442	Duhumbi	fern, fiddlehead	daŋ-sum	daŋ+sum	d a ŋ + s u m	i n c + i n c	d a ŋ + s u m	405 404	VEGETABLE FERN	
1443	Khoina	fern, fiddlehead	daŋ-søn	daŋ+søn	d a ŋ + s ø n	i n c + i n c	d a ŋ + s ø n	405 404	VEGETABLE FERN	
1444	Jerigaon	fern, fiddlehead	daŋ-søn	daŋ+søn	d a ŋ + s ø n	i n c + i n c	d a ŋ + s ø n	405 404	VEGETABLE FERN	
1445	Khoitam	fern, fiddlehead	daŋ-sɔm	daŋ+sɔm	d a ŋ + s ɔ m	i n c + i n c	d a ŋ + s ɔ m	405 404	VEGETABLE FERN	
1446	Rahung	fern, fiddlehead	daŋ-søm	daŋ+søm	d a ŋ + s ø m	i n c + i n c	d a ŋ + s ø m	405 404	VEGETABLE FERN	
1447	Rupa	fern, fiddlehead	daŋ-sɔm ~ daŋ-sum	daŋ+sɔm	d a ŋ + s ɔ~u/ɔ m	i n c + i n c	d a ŋ + s ɔ~u/ɔ m	405 404	VEGETABLE FERN	
1448	Shergaon	fern, fiddlehead	daŋ-sum	daŋ+sum	d a ŋ + s u m	i n c + i n c	d a ŋ + s u m	405 404	VEGETABLE FERN	
#
1449	Khispi	fetch	la	la	l a	i n	l a	406	FETCH	
1450	Duhumbi	fetch	la	la	l a	i n	l a	406	FETCH	
1453	Khoitam	fetch	luː	luː	l uː	i n	l uː	406	FETCH	
1454	Rahung	fetch	loː	loː	l oː	i n	l oː	406	FETCH	
1455	Rupa	fetch	luː ~ ruː	luː	l~r/l uː	i n	l~r/l uː	406	FETCH	
1456	Shergaon	fetch	luː	luː	l uː	i n	l uː	406	FETCH	
#
1459	Khoina	few, little	a-ʨʰaː	a+ʨʰaː	a + tɕʰ aː	n + i n	- a + tɕʰ aː	56 328	_u/a-prefix FEW	
1460	Jerigaon	few, little	a-ʨʰɛː	a+ʨʰɛː	a + tɕʰ ɛː	n + i n	- a + tɕʰ ɛː	56 328	_u/a-prefix FEW	
1461	Khoitam	few, little	a-ʨʰɛː	a+ʨʰɛː	a + tɕʰ ɛː	n + i n	- a + tɕʰ ɛː	56 328	_u/a-prefix FEW	
1462	Rahung	few, little	a-ʨʰɛː	a+ʨʰɛː	a + tɕʰ ɛː	n + i n	- a + tɕʰ ɛː	56 328	_u/a-prefix FEW	
#
1465	Khispi	field	lɛk	lɛk	l ɛ k	i n c	l ɛ k	409	FIELD	
1466	Duhumbi	field	ljɛk	ljɛk	lj ɛ k	i n c	lj ɛ k	409	FIELD	
1467	Khoina	field	rajk	rajk	r aj/ai k	i n c	r aj/ai k	409	FIELD	
1468	Jerigaon	field	rɛˀ	rɛˀ	r ɛˀ	i n	r ɛˀ -	409	FIELD	
1469	Khoitam	field	rɛk(-zĩː)	rɛk	r ɛ k + z ĩː	i n c + i n	r ɛ k + z ĩː	409 666	FIELD	
1470	Rahung	field	rɛk	rɛk	r ɛ k	i n c	r ɛ k	409	FIELD	
1471	Rupa	field	rɛk ~ rɛk(-saŋ)	rɛk	r ɛ k + s a ŋ	i n c + i n c	r ɛ k + s a ŋ	409 674	FIELD	
1472	Shergaon	field	rɛk(-saŋ)	rɛk	r ɛ k + s a ŋ	i n c + i n c	r ɛ k + s a ŋ	409 674	FIELD	
#
1473	Khispi	finger	hut ɕa-da	hut_ɕa+da	h u t + ɕ a + d a	i n c + i n + i n	h u t + ɕ a + d a	410 412 233	HAND SMALL _da-suffix	
1474	Duhumbi	finger	hut bɹa-ma	hut_bɹa+ma	h u t + bɹ a + m a	i n c + i n + i n	h u t + bɹ a + m a -	410 413 57	HAND FINGER _ma-suffix	
1475	Khoina	finger	ik a-du	ik_a+du	i k + a + d u	n c + n + i n	- i k + - a + d u	410 412 233	HAND _a-prefix SMALL	
1476	Jerigaon	finger	ik a-du	ik_a+du	i k + a + d u	n c + n + i n	- i k + - a + d u	410 412 233	HAND _a-prefix SMALL	
1477	Khoitam	finger	ik bɹɔm	ik_bɹɔm	i k + bɹ ɔ + m	n c + i n + i	- i k + bɹ ɔ + m	410 413 10000	HAND FINGER _ma-suffix	contraction
1478	Rahung	finger	ik pɹø-muŋ	ik_pɹø+muŋ	i k + pɹ ø + m u ŋ	n c + i n + i n c	- i k + pɹ ø + m u ŋ	410 413 57	HAND FINGER _ma-suffix	epenthetic nasal
1479	Rupa	finger	ik ʦʰik ~ ik-ʨʰik	ik_ʦʰik	i k + tsʰ~ʨʰ/ʨʰ i k	n c + i n c	- i k + tsʰ~ʨʰ/ʨʰ i k	410 63	HAND SECTION	
#
1481	Khispi	fire	bej	bej	b ej	i n	b ej	415	FIRE	
1482	Duhumbi	fire	bɛj	bɛj	b ɛj	i n	b ɛj	415	FIRE	
1483	Khoina	fire	baː	baː	b aː	i n	b aː	415	FIRE	
1484	Jerigaon	fire	bɛˀ	bɛˀ	b ɛˀ	i n	b ɛˀ	415	FIRE	
1485	Khoitam	fire	bɛˀ	bɛˀ	b ɛˀ	i n	b ɛˀ	415	FIRE	
1486	Rahung	fire	bɛˀ	bɛˀ	b ɛˀ	i n	b ɛˀ	415	FIRE	
1487	Rupa	fire	baˀ	baˀ	b aˀ	i n	b aˀ	415	FIRE	
1488	Shergaon	fire	ba	ba	b a	i n	b a	415	FIRE	
#
